date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:54:07	160302/160302	U-----	200	untouched ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:11%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/maxcdn.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	(from https://instantfxoptiontrade.com/register.php)
07:54:07	89476/89476	U-----	200	untouched ('')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://instantfxoptiontrade.com/register.php)
07:54:08	21257/21257	U-----	200	untouched ('')	application/javascript	etag:%225eb03fa9-5309%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.16.0/umd/popper.min.js	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/cdnjs.cloudflare.com/ajax/libs/popper.js/1.16.0/umd/popper.min.js	(from https://instantfxoptiontrade.com/register.php)
07:54:08	60044/60044	U-----	200	untouched ('')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:11%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/maxcdn.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	(from https://instantfxoptiontrade.com/register.php)
07:54:08	62/62	---MCZ	302	error ('Found')	text/plain	date:Sun,%2014%20May%202023%2012:54:08%20GMT	https://unpkg.com/sweetalert/dist/sweetalert.min.js	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/unpkg.com/sweetalert/dist/sweetalert.min.11.delayed	(from https://instantfxoptiontrade.com/register.php)
07:54:09	40808/40808	U-----	200	untouched ('')	application/javascript	etag:%229f68-Kj2qvHAjLGNQq0jTJgXcSmrB8fo%22	https://unpkg.com/sweetalert@2.1.2/dist/sweetalert.min.js	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/unpkg.com/sweetalert@2.1.2/dist/sweetalert.min.js	(from https://instantfxoptiontrade.com/register.php)
07:54:10	462112/462112	U-----	200	untouched ('OK')	text/css	date:Sun,%2009%20Aug%202020%2002:45:08%20GMT	https://instantfxoptiontrade.com/data/plugins/js_composer/assets/css/js_composer.min.css	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/data/plugins/js_composer/assets/css/js_composer.min.css	(from https://instantfxoptiontrade.com/register.php)
07:54:10	96880/96880	---M--	200	added ('OK')	application/javascript	date:Sun,%2009%20Aug%202020%2002:43:06%20GMT	https://instantfxoptiontrade.com/data/jquery/jquery.js	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/data/jquery/jquery.js	(from https://instantfxoptiontrade.com/register.php)
07:54:11	10057/10057	---M--	200	added ('OK')	application/javascript	date:Sun,%2009%20Aug%202020%2002:42:16%20GMT	https://instantfxoptiontrade.com/data/jquery/jquery-migrate.min.js	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/data/jquery/jquery-migrate.min.js	(from https://instantfxoptiontrade.com/register.php)
07:54:11	13014/13014	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Oct%202021%2005:07:06%20GMT	https://instantfxoptiontrade.com/data/design/cryptonode/images/logo.png	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/data/design/cryptonode/images/logo.png	(from https://instantfxoptiontrade.com/register.php)
07:54:11	113729/113729	U-----	200	untouched ('OK')	text/html	date:Fri,%2008%20Oct%202021%2020:30:43%20GMT	https://instantfxoptiontrade.com/index.html	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/index.html	(from https://instantfxoptiontrade.com/register.php)
07:54:11	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2014%20May%202023%2012:54:11%20GMT	https://instantfxoptiontrade.com/signup.html	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/signup.html	(from https://instantfxoptiontrade.com/register.php)
07:54:12	60757/60757	U--MC-	200	updated ('OK')	text/html	date:Sun,%2014%20May%202023%2012:54:11%20GMT	https://instantfxoptiontrade.com/about.php	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/about.html	(from https://instantfxoptiontrade.com/register.php)
07:54:12	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2014%20May%202023%2012:54:12%20GMT	https://instantfxoptiontrade.com/register.html	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/register-2.html	(from https://instantfxoptiontrade.com/register.php)
07:54:12	50362/50362	U--MC-	200	updated ('OK')	text/html	date:Sun,%2014%20May%202023%2012:54:11%20GMT	https://instantfxoptiontrade.com/faq.php	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/faq.html	(from https://instantfxoptiontrade.com/register.php)
07:54:12	49099/49099	U--MC-	200	updated ('OK')	text/html	date:Sun,%2014%20May%202023%2012:54:12%20GMT	https://instantfxoptiontrade.com/rules.php	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/rules.html	(from https://instantfxoptiontrade.com/register.php)
07:54:14	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2014%20May%202023%2012:54:13%20GMT	https://instantfxoptiontrade.com/index38cd.html?a=faq	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/index38cd.1e38cd.delayed	(from https://instantfxoptiontrade.com/register.php)
07:54:15	57127/57127	U--MC-	200	updated ('OK')	text/html	date:Sun,%2014%20May%202023%2012:54:12%20GMT	https://instantfxoptiontrade.com/contact.php	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/contact.html	(from https://instantfxoptiontrade.com/register.php)
07:54:16	4260/4260	---M--	200	added ('OK')	application/javascript	date:Sun,%2009%20Aug%202020%2002:39:18%20GMT	https://instantfxoptiontrade.com/data/design/cryptonode/js/modernizr.js	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/data/design/cryptonode/js/modernizr.js	(from https://instantfxoptiontrade.com/register.php)
07:54:16	41785/41785	U--MC-	200	updated ('OK')	text/html	date:Sun,%2014%20May%202023%2012:54:15%20GMT	https://instantfxoptiontrade.com/signup.php	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/signup-2.html	(from https://instantfxoptiontrade.com/register.php)
07:54:17	37045/37045	---M--	200	added ('OK')	application/javascript	date:Sun,%2009%20Aug%202020%2002:40:22%20GMT	https://instantfxoptiontrade.com/data/design/cryptonode/js/pikaday.js	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/data/design/cryptonode/js/pikaday.js	(from https://instantfxoptiontrade.com/register.php)
07:54:17	25697/25697	---M--	200	added ('OK')	application/javascript	date:Sun,%2009%20Aug%202020%2002:38:32%20GMT	https://instantfxoptiontrade.com/data/design/cryptonode/js/jquery.swipebox.js	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/data/design/cryptonode/js/jquery.swipebox.js	(from https://instantfxoptiontrade.com/register.php)
07:54:17	36822/36822	---M--	200	added ('OK')	application/javascript	date:Sun,%2009%20Aug%202020%2002:33:30%20GMT	https://instantfxoptiontrade.com/data/design/cryptonode/js/bootstrap/bootstrap.min.js	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/data/design/cryptonode/js/bootstrap/bootstrap.min.js	(from https://instantfxoptiontrade.com/register.php)
07:54:18	5390/5390	---M--	200	added ('OK')	application/javascript	date:Sun,%2009%20Aug%202020%2002:37:38%20GMT	https://instantfxoptiontrade.com/data/design/cryptonode/js/jquery.countdown.min.js	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/data/design/cryptonode/js/jquery.countdown.min.js	(from https://instantfxoptiontrade.com/register.php)
07:54:18	9743/9743	---M--	200	added ('OK')	application/javascript	date:Sun,%2009%20Aug%202020%2002:35:30%20GMT	https://instantfxoptiontrade.com/data/design/cryptonode/js/doubletaptogo.js	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/data/design/cryptonode/js/doubletaptogo.js	(from https://instantfxoptiontrade.com/register.php)
07:54:19	15702/15702	---M--	200	added ('OK')	application/javascript	date:Sun,%2009%20Aug%202020%2002:36:10%20GMT	https://instantfxoptiontrade.com/data/design/cryptonode/js/flexibility.js	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/data/design/cryptonode/js/flexibility.js	(from https://instantfxoptiontrade.com/register.php)
07:54:25	228779/228779	---M--	200	added ('OK')	image/jpeg	date:Sun,%2009%20Aug%202020%2002:29:34%20GMT	https://instantfxoptiontrade.com/data/design/cryptonode/images/header.jpg	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/data/design/cryptonode/images/header.jpg	(from https://instantfxoptiontrade.com/register.php)
07:54:25	63059/63059	---M--	200	added ('OK')	application/javascript	date:Sun,%2009%20Aug%202020%2002:36:50%20GMT	https://instantfxoptiontrade.com/data/design/cryptonode/js/functions.js	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/data/design/cryptonode/js/functions.js	(from https://instantfxoptiontrade.com/register.php)
07:54:35	88576/88576	---M--	200	added ('OK')	application/javascript	date:Sun,%2009%20Aug%202020%2002:34:44%20GMT	https://instantfxoptiontrade.com/data/design/cryptonode/js/owlcarousel/owl.carousel.js	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/data/design/cryptonode/js/owlcarousel/owl.carousel.js	(from https://instantfxoptiontrade.com/register.php)
07:54:42	19781/19781	---M--	200	added ('OK')	application/javascript	date:Sun,%2009%20Aug%202020%2002:46:32%20GMT	https://instantfxoptiontrade.com/data/plugins/js_composer/assets/js/dist/js_composer_front.min.js	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/data/plugins/js_composer/assets/js/dist/js_composer_front.min.js	(from https://instantfxoptiontrade.com/register.php)
